FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
2022-06-04T00:00:00.000,COLOMBIA,ANTIOQUIA,Santa Rosa de Osos,ARTÍCULO 103. HOMICIDIO,ESTADOS UNIDOS DE AMERICA,MASCULINO,RURAL,ESTADOS UNIDOS DE AMERICA
2022-06-04T00:00:00.000,COLOMBIA,ANTIOQUIA,Santa Rosa de Osos,INSPECCION A CADAVER,ESTADOS UNIDOS DE AMERICA,MASCULINO,RURAL,ESTADOS UNIDOS DE AMERICA
2023-01-02T00:00:00.000,COLOMBIA,ANTIOQUIA,Rionegro,ARTÍCULO 239. HURTO PERSONAS,CANADA,MASCULINO,URBANA,CANADA
2023-03-06T00:00:00.000,COLOMBIA,ANTIOQUIA,Guatapé,ARTÍCULO 246. ESTAFA,FRANCIA,FEMENINO,RURAL,FRANCIA
2023-04-09T00:00:00.000,COLOMBIA,ANTIOQUIA,Guatapé,ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
2024-02-10T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ESPAÑA,MASCULINO,URBANA,ESPAÑA
2024-02-10T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ESLOVAQUIA,FEMENINO,URBANA,ESLOVAQUIA
2024-02-10T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,FEMENINO,URBANA,ESTADOS UNIDOS DE AMERICA
2024-05-11T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,MASCULINO,URBANA,FRANCIA
2024-02-09T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,RUMANIA,MASCULINO,URBANA,RUMANIA
2024-02-11T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ALEMANIA,MASCULINO,URBANA,ALEMANIA
2024-02-08T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
2024-02-10T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ITALIA,MASCULINO,URBANA,ITALIA
2024-02-11T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
2024-02-12T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2024-02-11T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ESLOVENIA,MASCULINO,URBANA,ESLOVENIA
2024-02-10T00:00:00.000,COLOMBIA,ATLÁNTICO,Barranquilla (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS DE AMERICA,MASCULINO,URBANA,ESTADOS UNIDOS DE AMERICA
